date,maxtempC,mintempC,humidity,pressure,sunrise,sunset,moonrise,moonset
2011-04-01,24,12,97,1016,05:51 AM,06:11 PM,04:09 AM,04:23 PM
2011-04-02,24,16,99,1015,05:50 AM,06:11 PM,04:42 AM,05:11 PM
2011-04-03,26,17,97,1014,05:49 AM,06:12 PM,05:15 AM,06:00 PM
2011-04-04,24,18,96,1014,05:48 AM,06:12 PM,05:50 AM,06:50 PM
2011-04-05,21,17,93,1016,05:47 AM,06:12 PM,06:26 AM,07:41 PM
2011-04-06,22,18,97,1015,05:46 AM,06:12 PM,07:06 AM,08:33 PM
2011-04-07,23,19,99,1015,05:45 AM,06:13 PM,07:49 AM,09:27 PM
2011-04-08,25,20,99,1015,05:45 AM,06:13 PM,08:36 AM,10:20 PM
2011-04-09,26,18,98,1018,05:44 AM,06:13 PM,09:28 AM,11:13 PM
2011-04-10,27,16,94,1019,05:43 AM,06:14 PM,10:22 AM,No moonset
2011-04-11,27,17,98,1016,05:42 AM,06:14 PM,11:20 AM,12:03 AM
2011-04-12,27,17,94,1014,05:41 AM,06:14 PM,12:20 PM,12:51 AM
2011-04-13,28,17,95,1016,05:40 AM,06:15 PM,01:20 PM,01:37 AM
2011-04-14,26,17,95,1013,05:40 AM,06:15 PM,02:21 PM,02:21 AM
2011-04-15,27,18,99,1008,05:39 AM,06:15 PM,03:24 PM,03:04 AM
2011-04-16,30,22,97,1008,05:38 AM,06:16 PM,04:26 PM,03:47 AM
2011-04-17,30,22,96,1008,05:37 AM,06:16 PM,05:31 PM,04:31 AM
2011-04-18,30,20,91,1011,05:36 AM,06:16 PM,06:37 PM,05:18 AM
2011-04-19,29,19,75,1013,05:35 AM,06:17 PM,07:44 PM,06:07 AM
2011-04-20,28,18,84,1014,05:35 AM,06:17 PM,08:48 PM,07:02 AM
2011-04-21,26,19,99,1013,05:34 AM,06:17 PM,09:50 PM,07:59 AM
2011-04-22,28,20,96,1011,05:33 AM,06:18 PM,10:46 PM,08:58 AM
2011-04-23,30,19,78,1015,05:32 AM,06:18 PM,11:36 PM,09:57 AM
2011-04-24,26,18,71,1014,05:32 AM,06:18 PM,No moonrise,10:54 AM
2011-04-25,29,17,81,1015,05:31 AM,06:19 PM,12:20 AM,11:48 AM
2011-04-26,28,18,78,1010,05:30 AM,06:19 PM,01:00 AM,12:40 PM
2011-04-27,30,19,99,1009,05:30 AM,06:19 PM,01:36 AM,01:31 PM
2011-04-28,28,21,98,1008,05:29 AM,06:20 PM,02:10 AM,02:19 PM
2011-04-29,26,20,98,1009,05:28 AM,06:20 PM,02:43 AM,03:07 PM
2011-04-30,30,22,98,1008,05:28 AM,06:21 PM,03:16 AM,03:56 PM
2011-05-01,29,22,96,1009,05:27 AM,06:21 PM,03:50 AM,04:45 PM
2011-05-02,34,23,99,1007,05:26 AM,06:21 PM,04:26 AM,05:36 PM
2011-05-03,24,19,95,1006,05:26 AM,06:22 PM,05:05 AM,06:28 PM
2011-05-04,23,18,83,1011,05:25 AM,06:22 PM,05:48 AM,07:22 PM
2011-05-05,27,21,96,1011,05:24 AM,06:23 PM,06:34 AM,08:16 PM
